indice_tiempo,expectativa_inflacion_mediana,expectativa_inflacion_promedio
2006-08-01,10.0,13.7323154157
2006-09-01,10.0,11.8859146675
2006-10-01,10.0,11.7282029256
2006-11-01,10.0,12.7266854551
2006-12-01,10.0,13.8634469293
2007-01-01,10.0,13.7639614817
2007-02-01,10.0,13.18115168
2007-03-01,10.0,13.4905516122
2007-04-01,15.0,15.441637994799999
2007-05-01,15.0,18.9653355342
2007-06-01,15.0,18.9066652261
2007-07-01,15.0,20.8981962589
2007-08-01,20.0,22.7559794592
2007-09-01,20.0,22.9571970533
2007-10-01,20.0,25.225440727
2007-11-01,20.0,22.372526188899997
2007-12-01,20.0,23.2651408149
2008-01-01,20.0,22.5049850466
2008-02-01,20.0,23.3012510423
2008-03-01,25.0,31.1219194604
2008-04-01,25.0,32.8165537081
2008-05-01,30.0,36.479644834999995
2008-06-01,30.0,34.7189662425
2008-07-01,30.0,32.592564729100005
2008-08-01,25.0,30.7240197971
2008-09-01,30.0,31.994726688200004
2008-10-01,25.0,34.1534632364
2008-11-01,25.0,31.927213896300003
2008-12-01,20.0,23.450210968200004
2009-01-01,20.0,28.5683332249
2009-02-01,25.0,32.7575198104
2009-03-01,20.0,31.0518320682
2009-04-01,20.0,28.6475076212
2009-05-01,20.0,29.880422371599998
2009-06-01,20.0,31.452739764399997
2009-07-01,20.0,30.050719125999997
2009-08-01,25.0,34.0909851937
2009-09-01,20.0,29.315979478400003
2009-10-01,20.0,31.4596291493
2009-11-01,22.5,29.5681071808
2009-12-01,25.0,32.9836863445
2010-01-01,20.0,30.709405453600002
2010-02-01,25.0,31.076806033
2010-03-01,25.0,31.8345163989
2010-04-01,30.0,32.385932047
2010-05-01,25.0,30.2487180181
2010-06-01,25.0,32.5275925382
2010-07-01,25.0,32.518056786
2010-08-01,25.0,32.821795521999995
2010-09-01,25.0,31.372826195200002
2010-10-01,30.0,33.6992752317
2010-11-01,30.0,34.016420708599995
2010-12-01,30.0,35.141475975999995
2011-01-01,25.0,30.7317245064
2011-02-01,30.0,33.292047182400005
2011-03-01,25.0,32.7752956657
2011-04-01,25.0,30.2751867422
2011-05-01,25.0,29.4939769077
2011-06-01,25.0,32.500401342
2011-07-01,25.0,28.396334220900002
2011-08-01,25.0,29.173113767700002
2011-09-01,25.0,29.0811636576
2011-10-01,25.0,29.823984733499998
2011-11-01,25.0,30.161781363099998
2011-12-01,25.0,34.4026595606
2012-01-01,25.0,28.9194279771
2012-02-01,25.0,30.7102269468
2012-03-01,30.0,35.011444825299996
2012-04-01,30.0,37.1254186683
2012-05-01,30.0,33.8893695823
2012-06-01,30.0,34.8840669588
2012-07-01,30.0,35.7419679508
2012-08-01,30.0,39.836353209500004
2012-09-01,30.0,34.8840669588
2012-10-01,27.0,35.1448399756
2012-11-01,30.0,37.3544906594
2012-12-01,30.0,37.1711962913
2013-01-01,30.0,35.3387085414
2013-02-01,30.0,33.0158932122
2013-03-01,30.0,33.4504761316
2013-04-01,30.0,34.2047047399
2013-05-01,30.0,34.925913459
2013-06-01,30.0,35.284813961699996
2013-07-01,30.0,34.581322216800004
2013-08-01,30.0,31.4658266921
2013-09-01,30.0,32.8256149359
2013-10-01,28.0,31.250247662
2013-11-01,30.0,32.7299843543
2013-12-01,30.0,35.3054300412
2014-01-01,30.0,37.5971698157
2014-02-01,35.0,41.318692872599996
2014-03-01,30.0,38.6354873433
2014-04-01,30.0,37.539090636699996
2014-05-01,30.0,38.566718769999994
2014-06-01,30.0,35.2444520066
2014-07-01,30.0,37.381615989400004
2014-08-01,30.0,36.98433027429999
2014-09-01,35.0,41.097060782599996
2014-10-01,35.0,39.1004850799
2014-11-01,30.0,37.5540110276
2014-12-01,30.0,35.8321987697
2015-01-01,30.0,31.295445547699998
2015-02-01,30.0,29.618846994
2015-03-01,30.0,29.5689435271
2015-04-01,30.0,30.5603568147
2015-05-01,28.0,27.504020296199997
2015-06-01,30.0,30.539026633
2015-07-01,25.0,27.6953847028
2015-08-01,22.0,26.2754795481
2015-09-01,30.0,30.731866132900002
2015-10-01,25.0,27.464381588000002
2015-11-01,20.0,22.2
2015-12-01,30.0,30.5232259032
2016-01-01,25.0,26.9
2016-02-01,30.0,33.6
2016-03-01,30.0,31.4
2016-04-01,30.0,36.0
2016-05-01,28.0,32.4
2016-06-01,25.0,32.9
2016-07-01,25.0,29.8
2016-08-01,25.0,30.9
2016-09-01,20.0,29.8
2016-10-01,20.0,27.6
2016-11-01,25.0,30.4
2016-12-01,25.0,28.9
2017-01-01,25.0,29.2
2017-02-01,25.0,31.2
2017-03-01,25.0,31.3
2017-04-01,20.0,27.4
2017-05-01,21.0,27.9
2017-06-01,20.0,27.3
2017-07-01,20.0,29.3
2017-08-01,20.0,27.9
2017-09-01,20.0,25.1
2017-10-01,20.0,27.7
2017-11-01,20.0,24.7
2017-12-01,20.0,29.1
2018-01-01,20.0,28.4
2018-02-01,20.0,27.0
2018-03-01,20.0,29.2
2018-04-01,25.0,33.1
2018-05-01,25.0,33.3
2018-06-01,30.0,35.8
2018-07-01,30.0,32.2
2018-08-01,30.0,35.3
2018-09-01,30.0,40.4
2018-10-01,40.0,39.9
2018-11-01,30.0,38.3
2018-12-01,30.0,35.7
2019-01-01,30.0,39.2
2019-02-01,30.0,36.9
2019-03-01,40.0,40.8
2019-04-01,40.0,40.6
2019-05-01,30.0,36.6
2019-06-01,30.0,34.5
2019-07-01,30.0,31.900000000000002
2019-08-01,30.0,34.699999999999996
2019-09-01,30.0,33.1
2019-10-01,30.0,31.2
2019-11-01,30.0,32.7
2019-12-01,30.0,31.6
2020-01-01,30.0,31.8
2020-02-01,30.0,35.8
2020-03-01,30.0,33.800000000000004
2020-04-01,40.0,40.3
2020-05-01,50.0,47.4
2020-06-01,40.0,44.5
2020-07-01,40.0,43.1
2020-08-01,40.0,45.0
2020-09-01,40.0,43.3
2020-10-01,45.0,47.0
2020-11-01,40.0,44.5
2020-12-01,30.0,42.9
2021-01-01,45.0,44.1
2021-02-01,45.0,45.2
2021-03-01,50.0,46.3
2021-04-01,50.0,47.9
2021-05-01,50.0,50.2
2021-06-01,50.0,51.4
2021-07-01,50.0,49.1
2021-08-01,50.0,48.0
2021-09-01,50.0,48.6
