año_mes,Monto operado prestamos de UVA (en miles de pesos),Var. mensual (%),Var. Anual (%)
2016-05,2075,,
2016-06,14247,586.602409638554,
2016-07,35622,150.031585596968,
2016-08,127181,257.029363876256,
2016-09,238335,87.3982748995526,
2016-10,394258,65.4217802672709,
2016-11,465059,17.9580376301812,
2016-12,819470,76.2077499844106,
2017-01,590482,-27.943426849061,
2017-02,743757,25.9576075138616,
2017-03,1143646,53.7660822015793,
2017-04,1249687,9.27218737266602,
2017-05,1645988,31.7120206899808,79224.7228915663
2017-06,2628317,59.6802042299215,18348.2136590159
2017-07,3991791,51.8763147672065,11105.9710291393
2017-08,6068514,52.024842984014,4671.55707220418
2017-09,7326432,20.7286001152836,2974.00591604255
2017-10,8266415,12.8300242191561,1996.7019058586
2017-11,9138866,10.5541640481394,1865.09819184233
2017-12,11465627,25.4600625504302,1299.15152476601
2018-01,9497784,-17.1629776548635,1508.47985205307
2018-02,9442986,-0.576955635124998,1169.63322698139
2018-03,13937228,47.5934413118901,1118.66626561016
2018-04,13219732,-5.14805383107746,957.843443998377
2018-05,10597384,-19.8366199859422,543.831182244342
2018-06,5572805,-47.4133899460471,112.02940893355
2018-07,4932757,-11.4852035913692,23.5725267179569
2018-08,5122669,3.85001734324233,-15.5861055935605
2018-09,3419301,-33.2515725689089,-53.3292467602238
2018-10,3229435,-5.55277233563234,-60.9330646961228
2018-11,2975802,-7.85378866581925,-67.4379512731667
2018-12,2692428,-9.52260936715548,-76.5173941207053
2019-01,2378753,-11.6502651138675,-74.9546525800124
2019-02,2101543,-11.6535848824994,-77.7449315290735
2019-03,2128531,1.28419927643642,-84.7277306506
2019-04,2410731,13.2579699332544,-81.7641462020561
2019-05,2627608,8.99631688479552,-75.2051260952703
2019-06,1780417,-32.2419097521396,-68.0516903067665
2019-07,1693802,"-4,86487154413825","-65,6621641812074"
2019-08,2039819,"20,4284207953468","-60,1805426038653"
2019-09,2294553,"12,4880687943391","-32,8940915116862"
2019-10,1927071,"-16,015406922394","-40,327921137908"
2019-11,1787422,"-7,24669718967283","-39,9347806070431"
2019-12,1505629,"-15,7653312983727","-44,0791360066082"
2020-01,767990,"-48,9920823788596","-67,7145966815386"
2020-02,615974,"-19,7940077344757","-70,6894410440329"
2020-03,372538,"-39,5204992418511","-82,4978823423291"
2020-04,58179,"-84,3830696465864","-97,5866656213406"
2020-05,200610,"244,815139483319","-92,3652995423975"
2020-06,260152,"29,6804745526145","-85,3881422161213"
2020-07,181285,"-30,3157384913435","-89,2971551574505"
2020-08,177953,"-1,83798990539758","-91,2760396878351"
2020-09,292315,"64,2652835299208","-87,2604816711577"
2020-10,268427,"-8,17200622616014","-86,0707259877815"
2020-11,311425,"16,0185078252188","-82,5768620952411"
2020-12,264095,"-15,1978807096412","-82,4594903525371"
2021-01,249395,"-5,56617883716088","-67,5262698733056"
2021-02,131865,"-47,1260450289701","-78,5924405900249"
2021-03,930453,"605,610283244227","149,760561338709"
2021-04,1136283,"22,1214827616226","1853,08100861135"
