barrio,año,trimestre,precio_prom,ambientes,estado,comuna
AGRONOMIA,2010,1,,2 ambientes,Usado,15
AGRONOMIA,2010,2,,2 ambientes,Usado,15
AGRONOMIA,2010,3,,2 ambientes,Usado,15
AGRONOMIA,2010,4,,2 ambientes,Usado,15
AGRONOMIA,2011,1,,2 ambientes,Usado,15
AGRONOMIA,2011,2,,2 ambientes,Usado,15
AGRONOMIA,2011,3,,2 ambientes,Usado,15
AGRONOMIA,2011,4,,2 ambientes,Usado,15
AGRONOMIA,2012,1,,2 ambientes,Usado,15
AGRONOMIA,2012,2,,2 ambientes,Usado,15
AGRONOMIA,2012,3,,2 ambientes,Usado,15
AGRONOMIA,2012,4,,2 ambientes,Usado,15
AGRONOMIA,2013,1,,2 ambientes,Usado,15
AGRONOMIA,2013,2,,2 ambientes,Usado,15
AGRONOMIA,2013,3,,2 ambientes,Usado,15
AGRONOMIA,2013,4,,2 ambientes,Usado,15
AGRONOMIA,2014,1,,2 ambientes,Usado,15
AGRONOMIA,2014,2,,2 ambientes,Usado,15
AGRONOMIA,2014,3,,2 ambientes,Usado,15
AGRONOMIA,2014,4,,2 ambientes,Usado,15
AGRONOMIA,2015,1,,2 ambientes,Usado,15
AGRONOMIA,2015,2,,2 ambientes,Usado,15
AGRONOMIA,2015,3,,2 ambientes,Usado,15
AGRONOMIA,2015,4,,2 ambientes,Usado,15
AGRONOMIA,2016,1,2018,2 ambientes,Usado,15
AGRONOMIA,2016,2,2032,2 ambientes,Usado,15
AGRONOMIA,2016,3,2095,2 ambientes,Usado,15
AGRONOMIA,2016,4,2052,2 ambientes,Usado,15
AGRONOMIA,2017,1,2140,2 ambientes,Usado,15
AGRONOMIA,2017,2,2203,2 ambientes,Usado,15
AGRONOMIA,2017,3,2303,2 ambientes,Usado,15
AGRONOMIA,2017,4,,2 ambientes,Usado,15
AGRONOMIA,2018,1,,2 ambientes,Usado,15
AGRONOMIA,2018,2,,2 ambientes,Usado,15
AGRONOMIA,2018,3,,2 ambientes,Usado,15
AGRONOMIA,2018,4,,2 ambientes,Usado,15
AGRONOMIA,2019,1,,2 ambientes,Usado,15
AGRONOMIA,2019,2,,2 ambientes,Usado,15
ALMAGRO,2010,1,1574,2 ambientes,Usado,5
ALMAGRO,2010,2,1610,2 ambientes,Usado,5
ALMAGRO,2010,3,1665,2 ambientes,Usado,5
ALMAGRO,2010,4,1809,2 ambientes,Usado,5
ALMAGRO,2011,1,1783,2 ambientes,Usado,5
ALMAGRO,2011,2,1774,2 ambientes,Usado,5
ALMAGRO,2011,3,1868,2 ambientes,Usado,5
ALMAGRO,2011,4,2020,2 ambientes,Usado,5
ALMAGRO,2012,1,2024,2 ambientes,Usado,5
ALMAGRO,2012,2,2088,2 ambientes,Usado,5
ALMAGRO,2012,3,1974,2 ambientes,Usado,5
ALMAGRO,2012,4,2117,2 ambientes,Usado,5
ALMAGRO,2013,1,2386,2 ambientes,Usado,5
ALMAGRO,2013,2,2296,2 ambientes,Usado,5
ALMAGRO,2013,3,2196,2 ambientes,Usado,5
ALMAGRO,2013,4,2154,2 ambientes,Usado,5
ALMAGRO,2014,1,2115,2 ambientes,Usado,5
ALMAGRO,2014,2,2130,2 ambientes,Usado,5
ALMAGRO,2014,3,2046,2 ambientes,Usado,5
ALMAGRO,2014,4,2172,2 ambientes,Usado,5
ALMAGRO,2015,1,2075,2 ambientes,Usado,5
ALMAGRO,2015,2,2093,2 ambientes,Usado,5
ALMAGRO,2015,3,2125,2 ambientes,Usado,5
ALMAGRO,2015,4,2167,2 ambientes,Usado,5
ALMAGRO,2016,1,2193,2 ambientes,Usado,5
ALMAGRO,2016,2,2185,2 ambientes,Usado,5
ALMAGRO,2016,3,2258,2 ambientes,Usado,5
ALMAGRO,2016,4,2260,2 ambientes,Usado,5
ALMAGRO,2017,1,2282,2 ambientes,Usado,5
ALMAGRO,2017,2,2290,2 ambientes,Usado,5
ALMAGRO,2017,3,2386,2 ambientes,Usado,5
ALMAGRO,2017,4,2468,2 ambientes,Usado,5
ALMAGRO,2018,1,2680,2 ambientes,Usado,5
ALMAGRO,2018,2,2755,2 ambientes,Usado,5
ALMAGRO,2018,3,2756,2 ambientes,Usado,5
ALMAGRO,2018,4,2730,2 ambientes,Usado,5
ALMAGRO,2019,1,2695,2 ambientes,Usado,5
ALMAGRO,2019,2,2640,2 ambientes,Usado,5
BALVANERA,2010,1,1451,2 ambientes,Usado,3
BALVANERA,2010,2,1492,2 ambientes,Usado,3
BALVANERA,2010,3,1515,2 ambientes,Usado,3
BALVANERA,2010,4,1525,2 ambientes,Usado,3
BALVANERA,2011,1,1526,2 ambientes,Usado,3
BALVANERA,2011,2,1564,2 ambientes,Usado,3
BALVANERA,2011,3,1601,2 ambientes,Usado,3
BALVANERA,2011,4,1801,2 ambientes,Usado,3
BALVANERA,2012,1,1879,2 ambientes,Usado,3
BALVANERA,2012,2,1951,2 ambientes,Usado,3
BALVANERA,2012,3,1651,2 ambientes,Usado,3
BALVANERA,2012,4,1689,2 ambientes,Usado,3
BALVANERA,2013,1,1709,2 ambientes,Usado,3
BALVANERA,2013,2,1733,2 ambientes,Usado,3
BALVANERA,2013,3,1793,2 ambientes,Usado,3
BALVANERA,2013,4,1764,2 ambientes,Usado,3
BALVANERA,2014,1,1787,2 ambientes,Usado,3
BALVANERA,2014,2,1775,2 ambientes,Usado,3
BALVANERA,2014,3,1831,2 ambientes,Usado,3
BALVANERA,2014,4,1836,2 ambientes,Usado,3
BALVANERA,2015,1,1846,2 ambientes,Usado,3
BALVANERA,2015,2,1838,2 ambientes,Usado,3
BALVANERA,2015,3,1854,2 ambientes,Usado,3
BALVANERA,2015,4,1850,2 ambientes,Usado,3
BALVANERA,2016,1,1906,2 ambientes,Usado,3
BALVANERA,2016,2,1883,2 ambientes,Usado,3
BALVANERA,2016,3,1927,2 ambientes,Usado,3
BALVANERA,2016,4,1933,2 ambientes,Usado,3
BALVANERA,2017,1,1972,2 ambientes,Usado,3
BALVANERA,2017,2,1985,2 ambientes,Usado,3
BALVANERA,2017,3,2003,2 ambientes,Usado,3
BALVANERA,2017,4,2149,2 ambientes,Usado,3
BALVANERA,2018,1,2197,2 ambientes,Usado,3
BALVANERA,2018,2,2319,2 ambientes,Usado,3
BALVANERA,2018,3,2291,2 ambientes,Usado,3
BALVANERA,2018,4,2289,2 ambientes,Usado,3
BALVANERA,2019,1,2245,2 ambientes,Usado,3
BALVANERA,2019,2,2272,2 ambientes,Usado,3
BARRACAS,2010,1,1352,2 ambientes,Usado,4
BARRACAS,2010,2,1349,2 ambientes,Usado,4
BARRACAS,2010,3,1328,2 ambientes,Usado,4
BARRACAS,2010,4,1511,2 ambientes,Usado,4
BARRACAS,2011,1,1535,2 ambientes,Usado,4
BARRACAS,2011,2,1617,2 ambientes,Usado,4
BARRACAS,2011,3,1707,2 ambientes,Usado,4
BARRACAS,2011,4,1831,2 ambientes,Usado,4
BARRACAS,2012,1,,2 ambientes,Usado,4
BARRACAS,2012,2,,2 ambientes,Usado,4
BARRACAS,2012,3,2093,2 ambientes,Usado,4
BARRACAS,2012,4,,2 ambientes,Usado,4
BARRACAS,2013,1,,2 ambientes,Usado,4
BARRACAS,2013,2,,2 ambientes,Usado,4
BARRACAS,2013,3,,2 ambientes,Usado,4
BARRACAS,2013,4,2078,2 ambientes,Usado,4
BARRACAS,2014,1,,2 ambientes,Usado,4
BARRACAS,2014,2,,2 ambientes,Usado,4
BARRACAS,2014,3,,2 ambientes,Usado,4
BARRACAS,2014,4,,2 ambientes,Usado,4
BARRACAS,2015,1,2003,2 ambientes,Usado,4
BARRACAS,2015,2,2100,2 ambientes,Usado,4
BARRACAS,2015,3,2095,2 ambientes,Usado,4
