indice_tiempo,tasas_interes_call,tasas_interes_badlar,tasas_interes_pm
2003-01-02,6.0172,25.3125,
2003-01-03,6.0455,21.75,
2003-01-04,6.0455,21.75,
2003-01-05,6.0455,21.75,
2003-01-06,5.9506,20.25,
2003-01-07,6.1417,18.125,
2003-01-08,6.0399,14.5625,
2003-01-09,5.6962,15.625,
2003-01-10,5.4486,9.6875,
2003-01-11,5.4486,9.6875,
2003-01-12,5.4486,9.6875,
2003-01-13,5.5567,16.5625,
2003-01-14,5.032,14.875,
2003-01-15,5.2532,15.75,
2003-01-16,5.1713,15.875,
2003-01-17,5.2448,15.4375,
2003-01-18,5.2448,15.4375,
2003-01-19,5.2448,15.4375,
2003-01-20,5.0107,15.8125,
2003-01-21,5.5689,15.75,
2003-01-22,6.269,16.8125,
2003-01-23,6.2139,15.5,
2003-01-24,5.6427,14.875,
2003-01-25,5.6427,14.875,
2003-01-26,5.6427,14.875,
2003-01-27,5.5851,13.8125,
2003-01-28,6.0621,15.8125,
2003-01-29,5.0934,17.3125,
2003-01-30,5.5707,17.25,
2003-01-31,5.2919,16.9375,
2003-02-01,5.2919,16.9375,
2003-02-02,5.2919,16.9375,
2003-02-03,5.3786,15.4375,
2003-02-04,5.5471,17.1875,
2003-02-05,5.2874,17.375,
2003-02-06,5.9532,17.875,
2003-02-07,5.2366,14.9375,
2003-02-08,5.2366,14.9375,
2003-02-09,5.2366,14.9375,
2003-02-10,5.6412,19.3125,
2003-02-11,5.6048,20.375,
2003-02-12,5.7085,19.6875,
2003-02-13,5.6949,19.6875,
2003-02-14,6.037,22.3125,
2003-02-15,6.037,22.3125,
2003-02-16,6.037,22.3125,
2003-02-17,6.0095,26.25,
2003-02-18,6.55,25.375,
2003-02-19,6.8781,27.0,
2003-02-20,7.3972,27.5625,
2003-02-21,7.8752,24.5,
2003-02-22,7.8752,24.5,
2003-02-23,7.8752,24.5,
2003-02-24,7.8457,25.25,
2003-02-25,8.5835,23.6875,
2003-02-26,9.3905,20.9375,
2003-02-27,8.555,22.375,
2003-02-28,8.3236,24.6875,
2003-03-01,8.3236,24.6875,
2003-03-02,8.3236,24.6875,
2003-03-03,8.4221,24.1875,
2003-03-04,8.8502,23.25,
2003-03-05,9.3343,22.25,
2003-03-06,9.2501,25.1875,
2003-03-07,9.1861,23.25,
2003-03-08,9.1861,23.25,
2003-03-09,9.1861,23.25,
2003-03-10,8.7314,25.5,
2003-03-11,9.594,25.1875,
2003-03-12,9.7485,25.25,
2003-03-13,8.8115,26.125,
2003-03-14,9.0204,24.875,
2003-03-15,9.0204,24.875,
2003-03-16,9.0204,24.875,
2003-03-17,8.4438,25.75,
2003-03-18,8.8841,25.6875,
2003-03-19,8.2977,28.125,
2003-03-20,8.1583,25.4375,
2003-03-21,7.8566,21.3125,
2003-03-22,7.8566,21.3125,
2003-03-23,7.8566,21.3125,
2003-03-24,8.0148,27.5,
2003-03-25,7.6628,22.8125,
2003-03-26,6.8356,26.375,
2003-03-27,7.9712,21.3125,
2003-03-28,6.8561,25.125,
2003-03-29,6.8561,25.125,
2003-03-30,6.8561,25.125,
2003-03-31,6.8561,25.125,
2003-04-01,6.9078,24.6875,
2003-04-02,6.5928,25.4375,
2003-04-03,6.6852,24.625,
2003-04-04,6.706,23.1875,
2003-04-05,6.706,23.1875,
2003-04-06,6.706,23.1875,
2003-04-07,6.839,22.6875,
2003-04-08,7.0911,23.8125,
2003-04-09,6.9685,22.9375,
2003-04-10,7.1059,25.5625,
2003-04-11,6.8299,18.9375,
2003-04-12,6.8299,18.9375,
2003-04-13,6.8299,18.9375,
2003-04-14,6.2332,23.375,
2003-04-15,6.6076,20.3125,
2003-04-16,6.5964,19.9375,
2003-04-17,6.5964,19.9375,
2003-04-18,6.5964,19.9375,
2003-04-19,6.5964,19.9375,
2003-04-20,6.5964,19.9375,
2003-04-21,6.3942,19.5,
2003-04-22,6.3547,19.8125,
2003-04-23,5.6291,18.1875,
2003-04-24,5.4256,17.8125,
2003-04-25,6.2844,18.25,
2003-04-26,6.2844,18.25,
2003-04-27,6.2844,18.25,
2003-04-28,5.6727,18.125,
2003-04-29,5.7954,17.9375,
2003-04-30,5.2928,18.875,
2003-05-01,5.2928,18.875,
2003-05-02,6.0455,16.625,
2003-05-03,6.0455,16.625,
2003-05-04,6.0455,16.625,
2003-05-05,5.5201,16.3125,
2003-05-06,5.3762,15.1875,
2003-05-07,5.9445,14.1875,
