,año_mes,actos_coleg_esc,monto_cred_uva,superficie,precio_prom_x,expectativa_inflacion_mediana,tasas_interes_pm,tipo_cambio_implicito_en_adrs,precio_prom_y
0,2002-01,1678.0,,,,,,,
1,2002-02,1557.0,,,,,,,
2,2002-03,3434.0,,,,,,2.6370992357429333,
3,2002-04,8035.0,,,,,,2.9961286095503876,
4,2002-05,8098.0,,,,,,3.2070324254293534,
5,2002-06,3548.0,,,,,,3.8059142983349257,
6,2002-07,4308.0,,,,,,3.659872074115297,
7,2002-08,4380.0,,,,,,3.729838446862939,
8,2002-09,4580.0,,,,,,3.8225734889860647,
9,2002-10,5048.0,,,,,,3.7819777518459197,
10,2002-11,5148.0,,,,,,3.637437765180853,
11,2002-12,6474.0,,,,,,3.479026201282774,
12,2003-01,3527.0,,,,,,3.1585535708951333,
13,2003-02,3447.0,,,,,,3.0557675532053166,
14,2003-03,4612.0,,,,,,2.945217691696985,
15,2003-04,5739.0,,,,,,2.784241872919853,
16,2003-05,5716.0,,,,,,2.738178847586477,
17,2003-06,5046.0,,,,,,2.7156574454965283,
18,2003-07,5759.0,,,,,,2.7145587112109126,
19,2003-08,5121.0,,,,,,2.8352168677672096,
20,2003-09,5506.0,,,,,,2.8156068709359925,
21,2003-10,5658.0,,,,,,2.7486264728927536,
22,2003-11,4767.0,,,,,,2.7740961131654327,
23,2003-12,6457.0,,,,,,2.8340940252851845,
24,2004-01,3206.0,,,,,,2.793131312081886,
25,2004-02,3284.0,,,,,,2.8103359157082557,
26,2004-03,5152.0,,,,,,2.7842222800665373,
27,2004-04,4983.0,,,,,,2.7194589046800774,
28,2004-05,5262.0,,,,,,2.9180269028952206,
29,2004-06,5495.0,,,,,,2.987425443327387,
30,2004-07,5384.0,,,,,,2.9667654995413906,
31,2004-08,5235.0,,,,,,3.0204510214375793,
32,2004-09,5524.0,,,,,,2.9862625450254328,
33,2004-10,4667.0,,,,,,2.9657851149604912,
34,2004-11,5840.0,,,,,,2.9330597906998777,
35,2004-12,7186.0,,,,,,2.968925531410446,
36,2005-01,3537.0,,,,,,2.9459829546682412,
37,2005-02,3755.0,,,,,,2.8968476316823164,
38,2005-03,5186.0,,,,,,2.936189192651614,
39,2005-04,5823.0,,,,,,2.923671031988249,
40,2005-05,6014.0,,,,,,2.906137871113561,
41,2005-06,5994.0,,,,,,2.8571876788953627,
42,2005-07,6149.0,,,,,,2.849653816951996,
43,2005-08,7025.0,,,,,,2.881817575710981,
44,2005-09,7039.0,,,,,,2.903563140042936,
45,2005-10,6532.0,,,,,,2.9446933637599013,
46,2005-11,7033.0,,,,,,2.9811722710622637,
47,2005-12,7824.0,,,,,,3.0322159512108384,
48,2006-01,4282.0,,,,,,3.072551932216908,
49,2006-02,4072.0,,,,,,3.0486293016265806,
50,2006-03,5345.0,,,,,,3.0283253031609236,
51,2006-04,5990.0,,,,,,3.008345264972144,
52,2006-05,6380.0,,,,,,3.017871898010572,
53,2006-06,6281.0,,,,,,3.0715900341429423,
54,2006-07,6188.0,,,,,,3.0513179729192554,
55,2006-08,5622.0,,,,10.0,,3.060915088683987,
56,2006-09,5770.0,,,,10.0,,3.0869167181287014,
